kernel,config,latency,lut,dsp,ff,II,IL
atax,A_1_1_A_2_1_x_1_8__lp2_p_8_f,266.0,885.0,5.0,1038.0,32.0,36.0
atax,A_1_1_A_2_2_x_1_8__lp2_p_8_f,266.0,842.0,5.0,1160.0,32.0,36.0
atax,A_1_1_A_2_4_x_1_8__lp2_p_8_f,266.0,835.0,5.0,1224.0,32.0,36.0
atax,A_1_1_A_2_16_x_1_8__lp2_p_8_f,266.0,1040.0,5.0,1255.0,32.0,36.0
atax,A_1_2_A_2_8_x_1_8__lp2_p_8_f,266.0,856.0,5.0,1258.0,32.0,36.0
atax,A_1_2_A_2_1_x_1_8__lp2_p_8_f,266.0,1014.0,5.0,1271.0,32.0,36.0
atax,A_1_2_A_2_2_x_1_8__lp2_p_8_f,266.0,975.0,5.0,1266.0,32.0,36.0
atax,A_1_2_A_2_4_x_1_8__lp2_p_8_f,266.0,972.0,5.0,1266.0,32.0,36.0
atax,A_1_2_A_2_16_x_1_8__lp2_p_8_f,266.0,1377.0,5.0,1260.0,32.0,36.0
atax,A_1_1_A_2_64_x_1_8__lp2_p_8_f,266.0,2767.0,5.0,3298.0,32.0,36.0
atax,A_1_2_A_2_64_x_1_8__lp2_p_8_f,266.0,4840.0,5.0,5351.0,32.0,36.0
atax,A_1_1_A_2_16_x_1_16__lp2_p_16_f,266.0,993.0,5.0,1990.0,64.0,68.0
atax,A_1_1_A_2_1_x_1_16__lp2_p_16_f,266.0,1183.0,5.0,1518.0,64.0,68.0
atax,A_1_1_A_2_2_x_1_16__lp2_p_16_f,266.0,1126.0,5.0,1768.0,64.0,68.0
atax,A_1_1_A_2_4_x_1_16__lp2_p_16_f,266.0,1109.0,5.0,1896.0,64.0,68.0
atax,A_1_2_A_2_2_y_1_2__lp4_p_2_f,45.0,907.0,10.0,1246.0,1.0,9.0
atax,A_1_1_A_2_8_x_1_16__lp2_p_16_f,266.0,1108.0,5.0,1960.0,64.0,68.0
atax,A_1_2_A_2_16_x_1_16__lp2_p_16_f,266.0,1146.0,5.0,1995.0,64.0,68.0
atax,A_1_2_A_2_1_x_1_16__lp2_p_16_f,266.0,1416.0,5.0,2007.0,64.0,68.0
atax,A_1_2_A_2_2_x_1_16__lp2_p_16_f,266.0,1377.0,5.0,2002.0,64.0,68.0
atax,A_1_2_A_2_4_x_1_16__lp2_p_16_f,266.0,1366.0,5.0,2002.0,64.0,68.0
atax,A_1_2_A_2_8_x_1_16__lp2_p_16_f,266.0,1373.0,5.0,2002.0,64.0,68.0
atax,A_1_2_A_2_1_y_1_2__lp4_p_2_f,77.0,720.0,5.0,870.0,2.0,10.0
atax,A_1_1_A_2_64_x_1_16__lp2_p_16_f,266.0,4545.0,5.0,4034.0,64.0,68.0
atax,A_1_2_A_2_64_x_1_16__lp2_p_16_f,266.0,8250.0,5.0,6087.0,64.0,68.0
atax,A_1_2_A_2_4_y_1_4__lp4_p_4_f,29.0,1687.0,20.0,2346.0,1.0,9.0
atax,A_1_2_A_2_1_y_1_4__lp4_p_4_f,77.0,836.0,5.0,1125.0,4.0,12.0
atax,tmp_1_1_A_1_1_A_2_64_x_1_64__lp1_p_1_f_lp2_p_64_f,327.0,22477.0,320.0,31618.0,1.0,261.0
atax,tmp_1_1_A_1_1_A_2_1_x_1_64__lp1_p_1_f_lp2_p_64_f,4299.0,3466.0,5.0,6915.0,64.0,264.0
atax,tmp_1_1_A_1_1_A_2_2_x_1_64__lp1_p_1_f_lp2_p_64_f,2283.0,4236.0,10.0,8654.0,32.0,264.0
atax,tmp_1_1_A_1_1_A_2_4_x_1_64__lp1_p_1_f_lp2_p_64_f,1275.0,5210.0,20.0,10100.0,16.0,264.0
atax,tmp_1_1_A_1_1_A_2_8_x_1_64__lp1_p_1_f_lp2_p_64_f,771.0,7231.0,40.0,12474.0,8.0,264.0
atax,tmp_1_1_A_1_1_A_2_16_x_1_64__lp1_p_1_f_lp2_p_64_f,519.0,10442.0,80.0,16656.0,4.0,264.0
atax,tmp_1_2_A_1_2_A_2_64_x_1_64__lp1_p_1_f_lp2_p_64_f,327.0,23126.0,320.0,31749.0,1.0,261.0
atax,tmp_1_2_A_1_2_A_2_1_x_1_64__lp1_p_1_f_lp2_p_64_f,4299.0,4336.0,5.0,9102.0,64.0,264.0
atax,tmp_1_2_A_1_1_A_2_64_x_1_64__lp1_p_1_f_lp2_p_64_f,327.0,22582.0,320.0,31820.0,1.0,261.0
atax,tmp_1_2_A_1_1_A_2_1_x_1_64__lp1_p_1_f_lp2_p_64_f,4299.0,3539.0,5.0,7087.0,64.0,264.0
atax,tmp_1_1_A_1_2_A_2_64_x_1_64__lp1_p_1_f_lp2_p_64_f,327.0,23085.0,320.0,31688.0,1.0,261.0
atax,tmp_1_1_A_1_2_A_2_1_x_1_64__lp1_p_1_f_lp2_p_64_f,4299.0,4263.0,5.0,8931.0,64.0,264.0
atax,tmp_1_2_A_1_2_A_2_2_x_1_64__lp1_p_1_f_lp2_p_64_f,2283.0,5158.0,10.0,10809.0,32.0,264.0
atax,tmp_1_2_A_1_1_A_2_2_x_1_64__lp1_p_1_f_lp2_p_64_f,2283.0,4309.0,10.0,8826.0,32.0,264.0
atax,tmp_1_1_A_1_2_A_2_2_x_1_64__lp1_p_1_f_lp2_p_64_f,2283.0,5085.0,10.0,10638.0,32.0,264.0
atax,tmp_1_2_A_1_2_A_2_4_x_1_64__lp1_p_1_f_lp2_p_64_f,1275.0,6168.0,20.0,12191.0,16.0,264.0
atax,tmp_1_2_A_1_1_A_2_4_x_1_64__lp1_p_1_f_lp2_p_64_f,1275.0,5283.0,20.0,10272.0,16.0,264.0
atax,tmp_1_1_A_1_2_A_2_4_x_1_64__lp1_p_1_f_lp2_p_64_f,1275.0,6095.0,20.0,12020.0,16.0,264.0
atax,tmp_1_2_A_1_2_A_2_8_x_1_64__lp1_p_1_f_lp2_p_64_f,771.0,8265.0,40.0,14437.0,8.0,264.0
atax,tmp_1_2_A_1_1_A_2_8_x_1_64__lp1_p_1_f_lp2_p_64_f,771.0,7304.0,40.0,12646.0,8.0,264.0
atax,tmp_1_1_A_1_2_A_2_8_x_1_64__lp1_p_1_f_lp2_p_64_f,771.0,8192.0,40.0,14266.0,8.0,264.0
atax,tmp_1_2_A_1_2_A_2_16_x_1_64__lp1_p_1_f_lp2_p_64_f,519.0,11504.0,80.0,18331.0,4.0,264.0
atax,tmp_1_2_A_1_1_A_2_16_x_1_64__lp1_p_1_f_lp2_p_64_f,519.0,10515.0,80.0,16796.0,4.0,264.0
atax,A_1_2_A_2_8_y_1_8__lp4_p_8_f,21.0,3247.0,40.0,4542.0,1.0,9.0
atax,tmp_1_1_A_1_2_A_2_16_x_1_64__lp1_p_1_f_lp2_p_64_f,519.0,11431.0,80.0,18192.0,4.0,264.0
atax,tmp_1_1_A_1_1_A_2_64_y_1_1__lp3_n_1_f_lp4_p_1_f,4107.0,833.0,5.0,641.0,1.0,9.0
atax,A_1_1_A_2_64_y_1_1__lp4_p_1_f,76.0,751.0,5.0,2670.0,1.0,8.0
atax,tmp_1_1_A_1_1_A_2_64_y_1_2__lp3_n_1_f_lp4_p_2_f,2059.0,1499.0,10.0,1260.0,1.0,9.0
atax,A_1_1_A_2_64_y_1_2__lp4_p_2_f,44.0,1386.0,10.0,3231.0,1.0,8.0
atax,tmp_1_1_A_1_1_A_2_64_y_1_4__lp3_n_1_f_lp4_p_4_f,1035.0,2770.0,20.0,2358.0,1.0,9.0
atax,A_1_1_A_2_64_y_1_4__lp4_p_4_f,28.0,2658.0,20.0,4329.0,1.0,8.0
atax,tmp_1_1_A_1_1_A_2_64_y_1_8__lp3_n_1_f_lp4_p_8_f,523.0,5236.0,40.0,4552.0,1.0,9.0
atax,A_1_1_A_2_64_y_1_8__lp4_p_8_f,20.0,5126.0,40.0,6523.0,1.0,8.0
atax,tmp_1_1_A_1_1_A_2_64_y_1_16__lp3_n_1_f_lp4_p_16_f,523.0,7567.0,40.0,5866.0,2.0,10.0
atax,A_1_1_A_2_64_y_1_16__lp4_p_16_f,16.0,9734.0,80.0,10905.0,1.0,8.0
atax,A_1_2_A_2_64_y_1_1__lp4_p_1_f,76.0,1042.0,5.0,4719.0,1.0,8.0
atax,A_1_2_A_2_1_y_1_8__lp4_p_8_f,77.0,874.0,5.0,1158.0,8.0,16.0
atax,A_1_2_A_2_64_y_1_2__lp4_p_2_f,44.0,1951.0,10.0,5280.0,1.0,8.0
atax,A_1_2_A_2_64_y_1_4__lp4_p_4_f,28.0,3751.0,20.0,6378.0,1.0,8.0
atax,A_1_2_A_2_64_y_1_8__lp4_p_8_f,20.0,7199.0,40.0,8572.0,1.0,8.0
atax,A_1_2_A_2_64_y_1_16__lp4_p_16_f,16.0,13439.0,80.0,12954.0,1.0,8.0
atax,tmp_1_2_A_1_2_A_2_64_x_1_64__lp1_p_2_f_lp2_p_64_f,295.0,44834.0,640.0,60580.0,1.0,261.0
atax,tmp_1_2_A_1_2_A_2_1_x_1_64__lp1_p_2_f_lp2_p_64_f,2251.0,5664.0,10.0,11625.0,64.0,264.0
atax,tmp_1_2_A_1_1_A_2_64_x_1_64__lp1_p_2_f_lp2_p_64_f,327.0,31322.0,320.0,43594.0,2.0,262.0
atax,tmp_1_2_A_1_1_A_2_1_x_1_64__lp1_p_2_f_lp2_p_64_f,4235.0,4863.0,5.0,5935.0,128.0,264.0
atax,tmp_1_1_A_1_2_A_2_64_x_1_64__lp1_p_2_f_lp2_p_64_f,328.0,30153.0,320.0,45612.0,2.0,263.0
atax,tmp_1_1_A_1_2_A_2_1_x_1_64__lp1_p_2_f_lp2_p_64_f,2252.0,5712.0,10.0,11632.0,64.0,265.0
atax,tmp_1_1_A_1_1_A_2_64_x_1_64__lp1_p_2_f_lp2_p_64_f,327.0,31364.0,320.0,43589.0,2.0,262.0
atax,tmp_1_1_A_1_1_A_2_1_x_1_64__lp1_p_2_f_lp2_p_64_f,4235.0,4905.0,5.0,5936.0,128.0,264.0
atax,tmp_1_2_A_1_2_A_2_2_x_1_64__lp1_p_2_f_lp2_p_64_f,1259.0,7747.0,20.0,15127.0,32.0,264.0
atax,tmp_1_2_A_1_1_A_2_2_x_1_64__lp1_p_2_f_lp2_p_64_f,2251.0,5427.0,10.0,11669.0,64.0,264.0
atax,tmp_1_1_A_1_2_A_2_2_x_1_64__lp1_p_2_f_lp2_p_64_f,1260.0,7795.0,20.0,15134.0,32.0,265.0
atax,tmp_1_1_A_1_1_A_2_2_x_1_64__lp1_p_2_f_lp2_p_64_f,2252.0,5469.0,10.0,11670.0,64.0,265.0
atax,tmp_1_2_A_1_2_A_2_4_x_1_64__lp1_p_2_f_lp2_p_64_f,763.0,9901.0,40.0,18019.0,16.0,264.0
atax,tmp_1_2_A_1_1_A_2_4_x_1_64__lp1_p_2_f_lp2_p_64_f,1259.0,7400.0,20.0,15107.0,32.0,264.0
atax,tmp_1_1_A_1_2_A_2_4_x_1_64__lp1_p_2_f_lp2_p_64_f,764.0,9949.0,40.0,18026.0,16.0,265.0
atax,tmp_1_1_A_1_1_A_2_4_x_1_64__lp1_p_2_f_lp2_p_64_f,1260.0,7442.0,20.0,15108.0,32.0,265.0
atax,tmp_1_2_A_1_2_A_2_8_x_1_64__lp1_p_2_f_lp2_p_64_f,515.0,13917.0,80.0,22741.0,8.0,264.0
atax,tmp_1_2_A_1_1_A_2_8_x_1_64__lp1_p_2_f_lp2_p_64_f,763.0,9647.0,40.0,18127.0,16.0,264.0
atax,tmp_1_1_A_1_2_A_2_8_x_1_64__lp1_p_2_f_lp2_p_64_f,516.0,13965.0,80.0,22748.0,8.0,265.0
atax,tmp_1_1_A_1_1_A_2_8_x_1_64__lp1_p_2_f_lp2_p_64_f,764.0,9689.0,40.0,18128.0,16.0,265.0
atax,tmp_1_2_A_1_2_A_2_16_x_1_64__lp1_p_2_f_lp2_p_64_f,391.0,20108.0,160.0,31043.0,4.0,264.0
atax,tmp_1_2_A_1_1_A_2_16_x_1_64__lp1_p_2_f_lp2_p_64_f,515.0,13547.0,80.0,22689.0,8.0,264.0
atax,tmp_1_1_A_1_2_A_2_16_x_1_64__lp1_p_2_f_lp2_p_64_f,392.0,20156.0,160.0,31050.0,4.0,265.0
atax,tmp_1_1_A_1_1_A_2_16_x_1_64__lp1_p_2_f_lp2_p_64_f,516.0,13589.0,80.0,22690.0,8.0,265.0
atax,tmp_1_2_A_1_2_A_2_64_y_1_1__lp3_n_1_f_lp4_p_1_f,4108.0,1232.0,5.0,731.0,1.0,10.0
atax,tmp_1_2_A_1_1_A_2_64_y_1_1__lp3_n_1_f_lp4_p_1_f,4108.0,949.0,5.0,737.0,1.0,10.0
atax,tmp_1_1_A_1_2_A_2_64_y_1_1__lp3_n_1_f_lp4_p_1_f,4107.0,1114.0,5.0,642.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_64_y_1_2__lp3_n_1_f_lp4_p_2_f,2060.0,2172.0,10.0,1350.0,1.0,10.0
atax,tmp_1_2_A_1_1_A_2_64_y_1_2__lp3_n_1_f_lp4_p_2_f,2060.0,1615.0,10.0,1356.0,1.0,10.0
atax,tmp_1_1_A_1_2_A_2_64_y_1_2__lp3_n_1_f_lp4_p_2_f,2059.0,2054.0,10.0,1261.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_64_y_1_4__lp3_n_1_f_lp4_p_4_f,1036.0,3971.0,20.0,2448.0,1.0,10.0
atax,tmp_1_2_A_1_1_A_2_64_y_1_4__lp3_n_1_f_lp4_p_4_f,1036.0,2886.0,20.0,2454.0,1.0,10.0
atax,tmp_1_1_A_1_2_A_2_64_y_1_4__lp3_n_1_f_lp4_p_4_f,1035.0,3853.0,20.0,2359.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_64_y_1_8__lp3_n_1_f_lp4_p_8_f,524.0,7417.0,40.0,4642.0,1.0,10.0
atax,tmp_1_2_A_1_1_A_2_64_y_1_8__lp3_n_1_f_lp4_p_8_f,524.0,5352.0,40.0,4648.0,1.0,10.0
atax,tmp_1_1_A_1_2_A_2_64_y_1_8__lp3_n_1_f_lp4_p_8_f,523.0,7299.0,40.0,4553.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_64_y_1_16__lp3_n_1_f_lp4_p_16_f,524.0,11153.0,40.0,5822.0,2.0,11.0
atax,tmp_1_2_A_1_1_A_2_64_y_1_16__lp3_n_1_f_lp4_p_16_f,524.0,7456.0,40.0,5822.0,2.0,11.0
atax,tmp_1_1_A_1_2_A_2_64_y_1_16__lp3_n_1_f_lp4_p_16_f,523.0,11262.0,40.0,5867.0,2.0,10.0
atax,A_1_2_A_2_16_y_1_16__lp4_p_16_f,17.0,6367.0,80.0,8926.0,1.0,9.0
atax,A_1_2_A_2_1_y_1_16__lp4_p_16_f,77.0,1145.0,5.0,1676.0,16.0,24.0
atax,tmp_1_1_A_1_1_A_2_64_y_1_64__lp3_p_1_f_lp4_p_64_f,202.0,10767.0,110.0,16151.0,3.0,10.0
atax,tmp_1_1_A_1_1_A_2_1_y_1_64__lp3_p_1_f_lp4_p_64_f,4106.0,2961.0,5.0,4759.0,64.0,71.0
atax,tmp_1_2_A_1_2_A_2_64_y_1_64__lp3_p_2_f_lp4_p_64_f,266.0,8732.0,80.0,18086.0,8.0,15.0
atax,tmp_1_2_A_1_2_A_2_1_y_1_64__lp3_p_2_f_lp4_p_64_f,2062.0,3893.0,10.0,5593.0,64.0,75.0
atax,tmp_1_2_A_1_1_A_2_64_y_1_64__lp3_p_2_f_lp4_p_64_f,266.0,9634.0,80.0,17580.0,8.0,15.0
atax,tmp_1_2_A_1_1_A_2_1_y_1_64__lp3_p_2_f_lp4_p_64_f,4106.0,5300.0,5.0,6946.0,128.0,135.0
atax,tmp_1_1_A_1_2_A_2_64_y_1_64__lp3_p_2_f_lp4_p_64_f,266.0,8752.0,80.0,18092.0,8.0,15.0
atax,tmp_1_1_A_1_2_A_2_1_y_1_64__lp3_p_2_f_lp4_p_64_f,2062.0,3913.0,10.0,5599.0,64.0,75.0
atax,tmp_1_1_A_1_1_A_2_64_y_1_64__lp3_p_2_f_lp4_p_64_f,266.0,9648.0,80.0,17580.0,8.0,15.0
atax,tmp_1_1_A_1_1_A_2_1_y_1_64__lp3_p_2_f_lp4_p_64_f,4106.0,5314.0,5.0,6919.0,128.0,135.0
atax,tmp_1_1_A_1_1_A_2_2_y_1_1__lp3_n_1_f_lp4_p_1_f,4107.0,563.0,5.0,635.0,1.0,9.0
atax,A_1_1_A_2_2_y_1_1__lp4_p_1_f,77.0,487.0,5.0,632.0,1.0,9.0
atax,tmp_1_1_A_1_1_A_2_2_y_1_4__lp3_n_1_f_lp4_p_4_f,2059.0,1231.0,10.0,1551.0,2.0,10.0
atax,A_1_1_A_2_2_y_1_4__lp4_p_4_f,45.0,1129.0,10.0,1506.0,2.0,10.0
atax,tmp_1_1_A_1_1_A_2_2_y_1_8__lp3_n_1_f_lp4_p_8_f,2059.0,1425.0,10.0,2001.0,4.0,12.0
atax,A_1_1_A_2_2_y_1_8__lp4_p_8_f,45.0,1325.0,10.0,1957.0,4.0,12.0
atax,tmp_1_1_A_1_1_A_2_2_y_1_16__lp3_n_1_f_lp4_p_16_f,2059.0,1340.0,10.0,1785.0,8.0,16.0
atax,A_1_1_A_2_2_y_1_16__lp4_p_16_f,45.0,1241.0,10.0,1742.0,8.0,16.0
atax,A_1_2_A_2_2_y_1_1__lp4_p_1_f,77.0,514.0,5.0,633.0,1.0,9.0
atax,A_1_2_A_2_2_y_1_4__lp4_p_4_f,45.0,1202.0,10.0,1576.0,2.0,10.0
atax,A_1_2_A_2_2_y_1_8__lp4_p_8_f,45.0,1458.0,10.0,2155.0,4.0,12.0
atax,A_1_2_A_2_2_y_1_16__lp4_p_16_f,45.0,1492.0,10.0,2196.0,8.0,16.0
atax,tmp_1_1_A_1_1_A_2_2_y_1_64__lp3_p_1_f_lp4_p_64_f,2058.0,2872.0,10.0,5242.0,32.0,39.0
atax,tmp_1_2_A_1_2_A_2_2_y_1_64__lp3_p_2_f_lp4_p_64_f,1038.0,4314.0,20.0,6847.0,32.0,43.0
atax,tmp_1_2_A_1_1_A_2_2_y_1_64__lp3_p_2_f_lp4_p_64_f,2058.0,4156.0,10.0,7397.0,64.0,71.0
atax,tmp_1_1_A_1_2_A_2_2_y_1_64__lp3_p_2_f_lp4_p_64_f,1038.0,4366.0,20.0,7077.0,32.0,43.0
atax,tmp_1_1_A_1_1_A_2_2_y_1_64__lp3_p_2_f_lp4_p_64_f,2058.0,4170.0,10.0,7370.0,64.0,71.0
atax,tmp_1_1_A_1_1_A_2_4_y_1_1__lp3_n_1_f_lp4_p_1_f,4107.0,574.0,5.0,636.0,1.0,9.0
atax,A_1_1_A_2_4_y_1_1__lp4_p_1_f,77.0,498.0,5.0,633.0,1.0,9.0
atax,tmp_1_1_A_1_1_A_2_4_y_1_2__lp3_n_1_f_lp4_p_2_f,2059.0,983.0,10.0,1255.0,1.0,9.0
atax,A_1_1_A_2_4_y_1_2__lp4_p_2_f,45.0,876.0,10.0,1194.0,1.0,9.0
atax,tmp_1_1_A_1_1_A_2_4_y_1_8__lp3_n_1_f_lp4_p_8_f,1035.0,2194.0,20.0,2906.0,2.0,10.0
atax,A_1_1_A_2_4_y_1_8__lp4_p_8_f,29.0,2066.0,20.0,2863.0,2.0,10.0
atax,tmp_1_1_A_1_1_A_2_4_y_1_16__lp3_n_1_f_lp4_p_16_f,1035.0,2611.0,20.0,3869.0,4.0,12.0
atax,A_1_1_A_2_4_y_1_16__lp4_p_16_f,29.0,2484.0,20.0,3827.0,4.0,12.0
